Year,AID,MigratoryStrategy,SpringMS,SpringMSDate,SpringMSTime,SpringME,SpringMEDate,SpringMETime,FallMS,FallMSDate,FallMSTime,FallME,FallMEDate,FallMETime,Notes
2016,219,Long,5/22/2016 3:00,5/22/2016,3:00:00,6/6/2016 5:00,6/6/2016,5:00:00,11/21/2016 13:00,11/21/2016,13:00:00,12/20/2016 23:00,12/20/2016,23:00:00,
2016,221,Medium,5/12/2016 17:00,5/12/2016,17:00:00,6/6/2016 13:00,6/6/2016,13:00:00,11/12/2016 23:00,11/12/2016,23:00:00,11/24/2016 23:00,11/24/2016,23:00:00,
2016,225,Long,3/12/2016 21:00,3/12/2016,21:00:00,5/7/2016 5:00,5/7/2016,5:00:00,10/15/2016 21:00,10/15/2016,21:00:00,11/23/2016 7:00,11/23/2016,7:00:00,
2016,227,Medium,5/20/2016 5:00,5/20/2016,5:00:00,5/21/2016 17:00,5/21/2016,17:00:00,9/29/2016 15:00,9/29/2016,15:00:00,10/2/2016 7:00,10/2/2016,7:00:00,
2016,230,Medium,5/26/2016 20:00,5/26/2016,20:00:00,6/1/2016 12:00,6/1/2016,12:00:00,10/3/2016 8:00,10/3/2016,8:00:00,10/8/2016 18:00,10/8/2016,18:00:00,
2016,231,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Died on 3/23/2016
2016,233,Long,5/18/2016 9:00,5/18/2016,9:00:00,6/8/2016 21:00,6/8/2016,21:00:00,N/A,N/A,N/A,N/A,N/A,N/A,Collar failed on 9/24/2016
2016,234,Short,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Resident year-round; no migration data
2016,235,Long,5/14/2016 1:00,5/14/2016,1:00:00,6/30/2016 7:00,6/30/2016,7:00:00,10/3/2016 19:00,10/3/2016,19:00:00,11/30/2016 11:00,11/30/2016,11:00:00,
2016,239,Medium,5/12/2016 1:00,5/12/2016,1:00:00,5/24/2016 21:00,5/24/2016,21:00:00,N/A,N/A,N/A,N/A,N/A,N/A,Collar failed on 5/31/2016
2016,240,N/A,N/A,N/A,N/A,6/4/2016 19:00,6/4/2016,19:00:00,10/8/2016 3:00,10/8/2016,3:00:00,N/A,N/A,N/A,Captured near Pinedale in March 2016; collar failed on 10/17/2016
2016,241,Medium,5/15/2016 5:00,5/15/2016,5:00:00,5/21/2016 21:00,5/21/2016,21:00:00,10/3/2016 5:00,10/3/2016,5:00:00,10/9/2016 11:00,10/9/2016,11:00:00,
2016,244,Medium,5/29/2016 23:00,5/29/2016,23:00:00,6/19/2016 17:00,6/19/2016,17:00:00,9/23/2016 11:00,9/23/2016,11:00:00,10/19/2016 17:00,10/19/2016,17:00:00,
2016,248,Long,3/15/2016 1:00,3/15/2016,1:00:00,5/8/2016 11:00,5/8/2016,11:00:00,10/5/2016 5:00,10/5/2016,5:00:00,12/4/2016 23:00,12/4/2016,23:00:00,
2016,249,Medium,4/3/2016 3:00,4/3/2016,3:00:00,5/15/2016 3:00,5/15/2016,3:00:00,10/2/2016 15:00,10/2/2016,15:00:00,10/7/2016 9:00,10/7/2016,9:00:00,
2016,251,Long,4/9/2016 9:00,4/9/2016,9:00:00,5/12/2016 1:00,5/12/2016,1:00:00,10/5/2016 1:00,10/5/2016,1:00:00,N/A,N/A,N/A,Collar failed on 10/14/2016
2016,252,Medium,5/20/2016 7:00,5/20/2016,7:00:00,5/28/2016 7:00,5/28/2016,7:00:00,10/12/2016 5:00,10/12/2016,5:00:00,10/15/2016 19:00,10/15/2016,19:00:00,
2016,253,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Died on 3/15/2016
2016,254,Long,4/2/2016 1:00,4/2/2016,1:00:00,5/15/2016 19:00,5/15/2016,19:00:00,10/4/2016 1:00,10/4/2016,1:00:00,12/4/2016 19:00,12/4/2016,19:00:00,
2016,255,Long,3/21/2016 7:00,3/21/2016,7:00:00,6/16/2016 9:00,6/16/2016,9:00:00,N/A,N/A,N/A,N/A,N/A,N/A,"Migrated to Island Park, ID; collar failed on 8/7/2016"
2016,256,Medium,5/19/2016 1:00,5/19/2016,1:00:00,6/11/2016 5:00,6/11/2016,5:00:00,9/25/2016 5:00,9/25/2016,5:00:00,10/11/2016 1:00,10/11/2016,1:00:00,
2016,257,Long,4/5/2016 5:00,4/5/2016,5:00:00,5/13/2016 19:00,5/13/2016,19:00:00,10/6/2016 9:00,10/6/2016,9:00:00,12/26/2016 9:00,12/26/2016,9:00:00,Immediately went to Table Mountain after March captures
2016,258,Long,5/5/2016 23:00,5/5/2016,23:00:00,5/28/2016 11:00,5/28/2016,11:00:00,N/A,N/A,N/A,N/A,N/A,N/A,Died on 9/30/2016; immediately went to Table Mountain after March captures
2016,259,Long,5/13/2016 15:00,5/13/2016,15:00:00,6/6/2016 9:00,6/6/2016,9:00:00,N/A,N/A,N/A,N/A,N/A,N/A,Collar failed on 10/1/2016
2016,260,Long,4/6/2016 11:00,4/6/2016,11:00:00,6/22/2016 17:00,6/22/2016,17:00:00,10/3/2016 3:00,10/3/2016,3:00:00,10/20/2016 5:00,10/20/2016,5:00:00,Migrated to La Barge and then moved north to Hoback Basin
2016,261,N/A,5/11/2016 23:00,5/11/2016,23:00:00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Died on 5/23/2016
2016,262,N/A,N/A,N/A,N/A,N/A,N/A,N/A,12/24/2016 21:00,12/24/2016,21:00:00,1/3/2017 1:00,1/3/2017,1:00:00,Remained in the Prospects all year but migrated to Red Desert in the fall of 2016
2016,263,Long,4/6/2016 11:00,4/6/2016,11:00:00,6/8/2016 21:00,6/8/2016,21:00:00,10/3/2016 7:00,10/3/2016,7:00:00,N/A,N/A,N/A,Collar failed on 10/18/2016 while Deer 263 was migrating
2016,264,Short,5/15/2016 19:00,5/15/2016,19:00:00,5/16/2016 17:00,5/16/2016,17:00:00,11/12/2016 1:00,11/12/2016,1:00:00,11/12/2016 9:00,11/12/2016,9:00:00,
2017,108,Long,5/4/2017 5:00,5/4/2017,5:00:00,5/25/2017 1:00,5/25/2017,1:00:00,9/29/2017 3:00,9/29/2017,3:00:00,11/11/2017 23:00,11/11/2017,23:00:00,
